age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
66,20265.01,427,8724.81,21.17,2,16.2,3746.97,0,4394.45,Male,Unemployed,High School,Car,Central,Single,2016,36,5/08/2016,0
21,70031.46,577,15853.92,48.5,0,8.3,4046.6,8,,Female,Full-Time,PhD,Business,North,Married,2022,36,4/09/2022,1
46,19304.14,725,15646.1,43.46,4,0.2,562.25,1,6054.9,Female,Full-Time,Bachelor,Home,Central,Married,2015,60,28/08/2015,1
18,174930.84,753,4616.68,12.27,0,0.6,956.48,4,63113.58,Female,Full-Time,High School,Car,Central,Single,2018,48,13/01/2018,1
71,37460.91,785,10900.05,57.65,6,2.6,11392.73,1,12092.84,Male,Part-Time,Bachelor,Medical,North,,2013,12,20/02/2013,0
47,39155.79,597,48188.37,34.71,4,2.2,7814.84,9,,Male,Full-Time,,Personal,West,,2016,84,13/05/2016,1
37,71761.71,744,80515.87,12.33,1,6.8,6588.46,8,,Male,Self-Employed,Bachelor,Education,West,Married,2012,48,4/09/2012,0
50,71780.49,582,6361.49,19.67,0,0.2,870.6,9,15555.29,Female,Retired,High School,Medical,North,Single,2012,60,19/12/2012,1
58,,801,55688.3,34.66,2,10.6,443.69,4,8222.22,Male,Full-Time,Bachelor,Car,North,Married,2024,36,20/12/2024,0
61,65171.09,719,11336.6,23.87,0,0.7,5408.53,0,23219.01,Female,Full-Time,Bachelor,Medical,West,Married,2024,36,26/02/2024,0
53,34836.26,647,16752.71,15.72,0,0.6,2988.49,2,9574.76,Male,Unemployed,Master,Car,West,Single,2019,48,26/12/2019,0
39,64861.21,771,59172.87,30.71,5,3.3,12448.68,2,10983.09,Female,Full-Time,Master,Car,North,Married,2016,36,2/08/2016,0
30,45344.76,699,13667.44,38.72,6,7.7,10584.55,5,,Male,Self-Employed,Bachelor,Medical,West,Single,2018,60,18/12/2018,0
24,77520.7,753,13564.62,22.66,1,3.6,9470.87,7,22622.42,Male,Full-Time,Bachelor,Education,Central,Married,2022,48,24/05/2022,0
25,84334.95,568,6067.27,21.89,5,5.6,4214.56,1,28757.47,Male,Full-Time,High School,Home,Central,Married,2015,48,16/03/2015,0
62,30900.44,710,11019.54,32.13,,1.4,1396.64,5,9023.4,Male,Full-Time,High School,Medical,South,Married,2019,36,28/11/2019,0
26,24845.93,716,9991.62,26.9,6,6.8,12483.12,8,4674.04,Female,Self-Employed,High School,Car,South,Single,2022,48,5/06/2022,0
42,27336.1,805,18275.43,18.44,0,1.8,6153.73,6,6075.96,Female,Full-Time,High School,Medical,East,Divorced,2019,84,27/08/2019,0
73,295080.19,548,39523.32,54.71,,4.5,4888.46,3,60748.76,Female,Unemployed,PhD,Home,East,,2019,36,18/03/2019,0
33,72807.52,589,13104.34,62.69,0,0.8,1637.91,2,14340.23,Non-Binary,Retired,Bachelor,Medical,West,Single,2019,84,26/09/2019,1
27,56156.37,570,4926.9,54.63,0,0.6,8951.26,3,11375.4,Male,Full-Time,Bachelor,Business,East,Single,2018,48,22/06/2018,1
28,35176.95,850,15365.43,50,0,3.9,5530.64,3,7606,Female,Part-Time,,Personal,South,Married,2021,36,21/09/2021,1
31,70222.9,625,23738.34,9.27,0,3.5,2147.5,6,17245.86,Female,Full-Time,Bachelor,Home,East,Divorced,2014,24,4/04/2014,0
68,62945.82,701,37808.57,51.84,3,13,1541.92,7,21199.59,Male,Part-Time,Master,Education,West,Single,2016,36,18/09/2016,1
61,51070.95,698,18707.5,10.79,5,6,1289.83,2,9774.09,Female,Full-Time,High School,Business,West,Divorced,2023,60,6/06/2023,0
67,50814.14,538,20503.74,27.93,2,,12423.8,7,10819.26,Female,Full-Time,High School,Home,South,,2022,60,28/09/2022,0
34,77068.07,725,15335.35,23.08,2,,11472.98,6,22482.42,Female,Unemployed,High School,Business,East,Married,2018,36,1/01/2018,1
18,79949.02,774,18850.63,22.13,6,,15358.94,4,13645.9,Male,Retired,,Car,North,Divorced,2019,60,8/03/2019,0
46,23896.56,724,46454.07,7.45,2,,,9,,Male,Full-Time,High School,Car,West,Single,2016,60,9/08/2016,1
68,44530.19,465,6747.63,56.52,1,8.6,1515.24,8,12113.6,Male,Unemployed,Master,Education,Central,Single,2021,48,19/08/2021,1
21,47831.06,742,30856.65,22.92,1,9.4,1909.18,7,10007.64,Female,Retired,Bachelor,Car,West,Single,2015,60,24/12/2015,0
40,25779.74,593,1720.01,11.31,6,6.4,27874.32,6,5378.98,Female,Full-Time,Master,Car,East,Married,2018,36,8/05/2018,0
45,66760.06,634,17020.31,25.55,5,5.5,17963.51,9,16454.41,Female,Full-Time,Bachelor,Car,East,,2016,48,26/06/2016,0
34,21645.57,561,2241.28,16.1,3,1.5,,6,4973.19,Male,Full-Time,,Personal,North,Widowed,2016,60,5/07/2016,1
57,43864.92,719,9972.21,27.87,1,0.4,5074.14,5,8487.24,Female,Self-Employed,High School,Car,East,Single,2014,48,20/11/2014,0
30,34271.43,658,5122.47,48.9,6,1.9,,4,6356.96,Female,Full-Time,PhD,Education,East,Married,2014,60,11/01/2014,1
69,30281.44,668,6695.53,34.68,6,10.8,3343.5,7,9766.88,Male,Full-Time,Master,Education,East,Married,2012,36,3/10/2012,0
54,39242.4,554,22558.59,30.39,,3.8,3201.02,8,7819.44,Female,Part-Time,,Home,South,Married,2018,36,26/06/2018,1
67,21069.9,635,22529.94,34.37,3,3,60396.75,3,6681.97,Female,Retired,,Personal,East,Married,2019,48,15/12/2019,0
32,35155.66,773,15979.62,1,3,5.1,3221.46,1,13770.57,Male,Unemployed,Bachelor,Home,North,Single,2019,36,7/09/2019,0
29,45276.29,730,46689.81,36.55,2,11.5,1746.58,4,10879.84,Male,Retired,Master,Personal,North,,2022,48,22/11/2022,0
74,60514.97,685,10015.97,17.69,3,13,4082.92,7,13531.32,Female,Retired,High School,Education,East,Single,2011,60,20/01/2011,0
32,51296.59,693,28100.89,15.1,4,10.6,5251.44,3,9167.88,Female,Part-Time,High School,Business,East,Married,2020,48,1/12/2020,0
51,29002.83,676,16952.93,7.92,3,2.8,917.16,5,7741.77,Male,Part-Time,High School,Car,North,Married,2024,36,20/04/2024,1
23,78256.26,524,12768.51,28.04,6,,13634.85,7,26027.35,Female,Part-Time,,Medical,North,Married,2020,60,28/06/2020,1
65,46981.07,601,8660.43,56.6,5,2.2,12790.76,8,8412.29,Female,Unemployed,PhD,Home,East,Married,2018,60,14/10/2018,0
66,43184,626,15390.11,45.3,4,2.3,5046.46,1,7484.11,Female,Self-Employed,Master,Car,North,Married,2023,84,17/04/2023,1
74,40485.08,688,8731.88,18.63,3,4.8,2350.68,9,13058.46,Female,Retired,High School,Car,East,Single,2023,60,15/04/2023,0
26,27955.23,581,6857.16,15.99,4,9.4,10538.35,3,8564.15,Female,Full-Time,High School,Medical,South,Married,2018,60,17/11/2018,0
40,31038.14,797,7366.95,24.5,6,4,6294.92,0,9031.61,Male,Retired,High School,Education,South,Married,2012,48,1/03/2012,0
50,10304.08,592,3128.68,17.37,4,10.4,2552.58,0,2403.34,Female,Part-Time,High School,Education,North,Single,2023,12,25/09/2023,0
55,,342,15665.39,30.68,6,8.9,37303.45,4,31394.49,Male,Full-Time,Master,Business,South,Single,2016,60,28/04/2016,0
34,22476.01,696,5209.95,3.5,0,3.3,1944.27,9,6510.28,Female,Full-Time,,Car,South,Married,2023,60,22/12/2023,0
36,66950.98,563,13841.39,31.69,5,0.3,5076.09,5,16174.91,Female,Full-Time,Bachelor,Car,East,Divorced,2021,48,23/11/2021,1
30,26974.89,580,9777.24,35.25,0,2.1,4626.76,4,6004.71,Male,Full-Time,Master,Car,West,,2023,60,3/10/2023,1
44,33125.86,717,6436.61,44.76,0,0.9,15775.47,6,11251.29,Female,Full-Time,Bachelor,Business,West,Married,2024,36,7/03/2024,0
23,75505.14,648,26259.86,13.92,0,0.1,,0,22904.52,Male,Self-Employed,,Education,Central,Married,2022,48,16/07/2022,1
23,192428.22,583,4425.04,41.39,3,11.4,7258.52,0,62180.12,Male,Full-Time,,Education,West,Single,2019,60,19/10/2019,0
50,31962.02,628,23571.5,48.3,5,5.9,11783.43,3,5483.91,Female,Unemployed,High School,Personal,Central,Divorced,2018,60,26/03/2018,0
40,151791.88,647,8298.36,29.24,1,3.9,454.42,2,,Male,Part-Time,Master,Personal,East,Widowed,2017,60,11/11/2017,0
27,,787,19543.5,35.72,6,5.4,4059.34,9,13650.15,Male,Full-Time,High School,Home,Central,,2020,12,16/08/2020,0
36,111913.35,719,19851.34,53.43,5,4.1,2173.87,3,26011.03,Female,Part-Time,High School,Business,Central,Divorced,2019,60,11/06/2019,1
68,85318.28,668,65923.74,12.91,4,0.4,8248.55,9,18141.18,Male,Full-Time,Master,Personal,North,Single,2024,60,8/05/2024,0
45,20364.26,764,9372.1,14.99,1,2.9,21713.19,1,6330.88,Male,Full-Time,Bachelor,Personal,North,Married,2012,36,12/06/2012,0
40,38691.73,677,66614.92,27.52,2,,22090.19,6,6583.33,Male,Unemployed,High School,Car,Central,Single,2019,48,13/10/2019,0
21,57165.53,767,10309.8,10.99,1,22.8,2596.78,1,15568.44,Male,Retired,High School,Home,South,Divorced,2022,36,18/12/2022,0
37,10186.91,584,8706.7,17.99,2,,8279.01,4,2091.81,Male,Self-Employed,Bachelor,Personal,West,,2016,24,20/07/2016,0
36,32865.12,621,9254.74,11.35,3,9.7,5496.87,4,6983.65,Male,Full-Time,Bachelor,Home,West,Married,2020,36,25/03/2020,0
59,40404.86,803,19150.5,41.45,1,0.1,3707.37,4,8743.78,Female,Part-Time,,Personal,East,Single,2019,60,26/01/2019,1
44,30619.34,628,16750.93,54.27,1,0,16554.28,3,5917.4,Male,Full-Time,PhD,Car,Central,Married,2017,36,16/06/2017,1
24,127682.04,528,24609.29,15.6,5,0.7,15458.65,5,37069.66,Male,Retired,Master,Home,South,Married,2017,36,21/02/2017,1
65,34022.11,683,15009.86,23.7,1,0.2,2479.78,6,9636.32,Female,Full-Time,PhD,Business,Central,Divorced,2019,48,6/06/2019,0
24,38604.58,641,7655.77,53.21,4,6.5,4143.23,8,8960.72,Male,Full-Time,Bachelor,Education,East,Married,2020,84,26/05/2020,1
67,22459.83,677,7916.61,14.49,6,3,2504.17,9,4880.81,Female,Self-Employed,Master,Home,North,Single,2024,60,2/02/2024,0
69,54170.55,473,20771.29,27.48,1,7.7,2586.96,4,11213.57,Female,Full-Time,High School,Car,South,Single,2019,36,10/05/2019,1
43,59393.2,713,14475.4,38.93,,0.1,662.16,3,21180.52,Male,Full-Time,High School,Education,North,,2019,24,25/04/2019,0
43,54773.08,732,10021.97,8.94,,4.4,3080.23,0,13969.9,Male,Retired,Bachelor,Car,South,Divorced,2023,36,4/09/2023,0
71,24181.67,580,57844.2,26.89,1,3.6,226.87,1,5461.88,Male,Self-Employed,High School,Personal,East,Married,2023,60,12/06/2023,0
36,66598.53,529,6954.65,37.11,2,0.2,3467.54,9,21380.65,Female,Part-Time,Bachelor,Education,South,Divorced,2010,12,8/09/2010,1
37,56535.71,657,15182.23,47.91,2,,4611.45,6,15455.75,Male,Unemployed,Bachelor,Education,East,Single,2023,12,12/10/2023,1
59,,596,5295.99,15.17,1,7.6,718.43,9,15282.14,Male,Full-Time,Bachelor,Home,East,Single,2018,36,9/05/2018,0
71,82796.59,702,32008.13,36.71,3,1.9,10647.17,8,22404.16,Female,Full-Time,High School,Home,West,Single,2018,48,1/09/2018,0
34,88004.23,609,14679.41,45.83,5,4.6,4895.46,4,15931.95,Male,Self-Employed,,Personal,West,Married,2015,60,8/06/2015,0
27,54325.63,703,3863.47,44.02,4,1.5,8993.89,8,21294.12,Female,Retired,High School,Car,West,,2012,24,17/02/2012,0
18,74075.46,516,8463.33,15.18,5,3.8,23195.77,3,17917.13,Male,Self-Employed,Master,Medical,Central,Single,2014,12,23/01/2014,0
49,37257.32,666,22858.91,16.55,3,0.9,2819.76,9,7166.16,Male,Full-Time,PhD,Medical,North,Married,2015,36,15/01/2015,0
47,17043.2,758,5281.46,47.92,2,1.2,2561.64,7,,Female,Self-Employed,High School,Home,Central,Divorced,2012,48,17/09/2012,1
25,117079.41,557,28261.45,9.52,3,6.2,10426.46,8,25923.44,Male,Retired,Master,Education,East,Married,2017,48,17/08/2017,1
38,,647,23586.94,18.95,1,9.3,1876.94,0,14039.01,Non-Binary,Part-Time,High School,Home,East,Single,2020,84,13/11/2020,1
39,54267.86,566,15671.12,18.88,4,0.3,37239.68,2,10658.38,Female,Part-Time,High School,Personal,East,Divorced,2019,36,13/06/2019,1
35,,649,20125.98,48.88,3,2.3,12852.69,7,14055.64,Male,Retired,Master,Personal,West,Single,2016,48,26/02/2016,1
19,32923.46,761,3423.8,48.01,6,6.8,4969.11,0,10627.69,Female,Self-Employed,Master,Home,West,Single,2020,60,23/04/2020,1
20,,758,32136.52,10.22,2,2.6,4008.66,5,9530.21,Male,Full-Time,PhD,Personal,East,Married,2016,48,10/03/2016,1
71,35157.7,602,2155.66,20.53,2,4.8,4337.31,1,6883.07,Male,Full-Time,,Education,South,Widowed,2022,60,24/08/2022,0
43,61848.58,672,7361.09,22.5,0,0.3,26652.56,4,22333.77,Male,Full-Time,,Business,North,,2020,36,27/01/2020,0
45,31981.88,696,26319.44,35.25,1,0.9,3380.16,6,6232.24,Male,Full-Time,Master,Home,South,Single,2018,48,11/01/2018,1
53,65621.24,689,19660.18,36.66,6,3.3,,6,10981.94,Male,Full-Time,Bachelor,Education,North,Widowed,2016,60,13/04/2016,1
51,41016.96,678,13081.05,44.42,1,,15061.81,5,11534.88,Male,Part-Time,High School,Home,North,Single,2012,12,17/05/2012,0
27,25597.9,710,7759.85,3.66,1,8.6,12215.6,9,6515.83,Female,Unemployed,Master,Home,East,Married,2017,48,19/08/2017,0
65,35294.85,727,6692,37.08,1,,8364.88,1,6061.34,Female,Full-Time,Master,Education,North,Widowed,2011,60,6/11/2011,0
72,42394.21,575,4797.99,44.09,5,1.6,8966.68,2,7725.2,Female,Self-Employed,Bachelor,Home,South,Single,2019,36,21/05/2019,1
60,64387.26,768,2293.58,5.15,5,7.1,7480.43,9,16749.76,Male,Full-Time,Bachelor,Personal,Central,Married,2016,36,17/07/2016,0
67,39976.31,595,10803.76,21.42,2,3.5,35083.35,1,12009.58,Female,Full-Time,Master,Home,North,Single,2021,24,13/07/2021,0
71,44483.06,619,47348.62,14.84,4,1.3,8522.11,3,,Male,Retired,Master,Car,North,Widowed,2016,24,19/04/2016,1
31,80616.3,789,11013.12,17.17,,4.6,6315.07,0,,Male,Full-Time,,Car,South,Divorced,2012,60,27/08/2012,1
57,,641,20918.12,12.9,1,14.9,5432.39,6,18685.18,Male,Full-Time,High School,Business,West,Married,2015,36,11/11/2015,0
72,,752,19930.17,5.99,5,13.4,3786.24,5,56016.91,Male,Full-Time,PhD,Car,South,Single,2013,36,4/07/2013,0
32,28471.46,617,5254.78,4.29,2,5.5,384.24,0,4859.75,Male,Unemployed,,Home,South,Married,2020,48,7/03/2020,0
34,22668.92,653,58849.1,38.79,3,16.5,21926.72,8,4294.34,Female,Unemployed,Master,Business,South,Divorced,2015,60,9/04/2015,1
70,154313.53,614,23394.05,15.38,0,7.5,17205.05,3,34851.53,Female,Part-Time,Bachelor,Home,North,Single,2024,48,15/05/2024,0
35,57378.89,476,21678.09,32.1,3,3.4,13236.98,0,9771.11,Female,Full-Time,,Car,East,Single,2016,48,14/07/2016,0
49,109010.86,688,21672.74,54,6,6,13865.83,8,33883.38,Female,Full-Time,,Medical,Central,Married,2022,60,8/12/2022,0
55,26815.9,610,38707.02,84.8,,11.9,1368.62,6,9726.6,Female,Part-Time,PhD,Home,South,,2017,24,7/10/2017,1
40,36575.22,551,8880.88,10.46,4,5.9,762.04,8,14165.52,Female,Full-Time,Master,Car,North,Married,2022,60,21/08/2022,1
63,53118.4,628,11265.06,45.22,2,4,4265.16,2,14563.57,Female,Full-Time,Bachelor,Personal,Central,Single,2017,36,26/06/2017,1
40,49029.76,585,47650.02,14.48,6,,16703.34,9,10213.29,Female,Retired,Bachelor,Education,South,Single,2022,36,16/11/2022,0
52,46832.73,613,64260.96,51.24,1,9.5,631.92,9,10776.6,Female,Self-Employed,Bachelor,Car,North,Single,2022,48,5/12/2022,1
56,18956.25,489,13455.73,15.67,2,2.3,1774.35,9,4717.06,Male,Self-Employed,Master,Medical,Central,Single,2016,24,15/11/2016,1
32,,850,25355.95,16.97,4,5.1,8002.74,9,12848.1,Male,Full-Time,Master,Home,North,Divorced,2014,48,9/01/2014,0
70,60157.39,535,22366.49,46.24,3,0.4,1885.29,7,23039.74,Female,Full-Time,,Medical,West,Single,2014,36,1/07/2014,1
41,40042.85,752,15445.59,32.5,0,3.2,1274.7,3,10851.95,Male,Part-Time,Master,Car,South,Divorced,2015,60,21/11/2015,0
45,88257.21,699,54158.18,15.08,3,1.4,9475.89,6,22487.39,Male,Self-Employed,Bachelor,Car,Central,Married,2015,36,15/09/2015,0
33,88442.16,635,3973.72,36.03,4,1.9,34873.28,4,18258.05,Male,Full-Time,High School,Personal,South,Single,2019,36,20/01/2019,0
33,55877.26,565,7820.01,21.21,5,8.4,3523.66,7,11941.21,Male,Retired,Bachelor,Car,West,Married,2018,84,16/11/2018,1
57,31698,667,5592.36,26.58,,2.7,20087.16,7,9263.56,Female,Retired,PhD,Home,North,Married,2016,48,8/06/2016,0
56,60762.09,673,7029.46,13.29,5,4.5,4389.57,9,,Female,Part-Time,,Home,Central,Single,2020,60,15/11/2020,0
23,66063.15,668,29493.2,61.19,0,1.3,725.38,3,15873.49,Male,Self-Employed,Master,Business,South,Married,2021,60,22/12/2021,1
71,,662,27915.43,14.3,1,5.4,40302.08,6,6175.91,Female,Retired,High School,Personal,North,Single,2018,60,27/07/2018,1
30,81359.12,743,13902.18,16.31,3,3.3,,2,15607.29,Female,Part-Time,High School,Medical,West,Married,2021,36,4/11/2021,0
61,63391.94,568,10981.88,34.1,1,13.3,10815.55,6,11516.44,Female,Unemployed,High School,Business,South,Married,2021,36,15/03/2021,0
26,53810.41,506,4550.23,30.95,6,4.8,35989.38,7,19729.04,Female,Retired,High School,Car,North,Married,2018,36,26/02/2018,1
51,28189.94,601,14573.32,13.57,4,7.7,1434.11,4,5563.6,Female,Retired,High School,Medical,Central,Single,2019,84,16/02/2019,0
34,15801.06,623,12482.47,6.32,5,6.1,12733.94,0,2752.15,Female,Part-Time,Master,Personal,West,Married,2011,48,13/01/2011,0
44,19606.07,843,1769.32,20.66,5,8.3,2172.28,2,5892.2,Male,Unemployed,Master,Home,East,Single,2024,48,26/09/2024,0
46,57365.56,580,9578.17,20.48,4,0.3,21355.39,7,17066.65,Male,Self-Employed,,Home,East,Married,2010,24,27/12/2010,0
60,63069.03,583,59843.86,14.47,2,2.4,4161.29,7,11677.28,Male,Full-Time,PhD,Medical,Central,Single,2022,60,15/03/2022,1
68,60389.33,581,4336.99,12.27,4,4.7,2820.62,5,12291.05,Female,Full-Time,Master,Home,West,Single,2021,60,5/07/2021,1
41,33313.68,616,11067.23,19.5,2,10.3,4321.03,9,11363.55,Female,Full-Time,High School,Education,East,Divorced,2024,36,27/08/2024,0
24,,518,13696.23,31.31,1,17.2,11163.14,7,15502.44,Female,Retired,High School,Car,North,Divorced,2023,36,8/06/2023,0
51,38837.87,685,28186.64,16.22,5,0.9,29731.89,2,7273.64,Female,Retired,Bachelor,Personal,Central,Divorced,2021,36,26/08/2021,0
65,40392.92,549,19899.72,15.18,,1.9,10900.03,0,9265.24,Female,Full-Time,Bachelor,Education,Central,,2020,36,11/09/2020,1
29,92070.5,740,8648.26,32.21,2,4.9,7376.9,3,19900.69,Male,Full-Time,Master,Personal,East,Married,2023,24,17/03/2023,1
32,38162.95,546,22865.63,20.83,5,12.3,6097.94,1,8576.71,Male,Full-Time,High School,Car,South,Married,2018,84,16/04/2018,0
50,30014.87,606,34787.91,23.21,2,2.9,34271.58,0,7556.6,Male,Unemployed,Bachelor,Home,East,Single,2015,36,14/03/2015,1
30,47757.52,635,20473.81,52.7,5,0.1,6007.49,1,15033.84,Non-Binary,Part-Time,High School,Car,Central,Married,2021,36,16/11/2021,1
55,37608.93,509,19672.35,19.83,4,5.9,468.98,7,8189.74,Female,Full-Time,Bachelor,Medical,North,Divorced,2018,36,4/05/2018,1
49,17145.34,711,25215.2,11.44,,2.9,9805.56,5,6528.53,Female,Full-Time,,Car,East,Single,2022,36,15/06/2022,0
62,10227.78,662,6197.68,5.97,1,,1069.76,5,1796.53,Male,Full-Time,Bachelor,Personal,West,Married,2018,60,17/11/2018,0
52,28912.77,590,25634.51,17.15,,0.7,1604.74,5,5382.03,Female,Full-Time,Bachelor,Medical,West,Single,2018,36,8/09/2018,1
18,23592.37,665,8945.31,10.06,4,4.4,58310.19,0,6549.28,Male,Full-Time,Bachelor,Business,Central,Married,2013,24,6/05/2013,1
64,34914.07,584,89584.02,41.89,5,6.2,10851.85,1,9928.04,Male,Full-Time,High School,Medical,North,Widowed,2016,48,11/10/2016,0
62,40045.92,507,6073.34,22.63,5,0.8,1731.97,9,,Male,Full-Time,Master,Car,Central,Married,2012,48,28/08/2012,1
74,28462.23,608,54892.47,47.59,3,6.1,7785.86,4,10578.17,Female,Full-Time,Master,Car,South,Single,2021,60,7/06/2021,1
30,47819.25,634,19225.81,22.69,,0.6,,4,9698.05,Male,Full-Time,High School,Home,East,Single,2020,48,19/03/2020,1
71,42448.21,643,11190.96,26.27,0,,19444.37,1,12147.49,Female,Full-Time,PhD,Car,West,Single,2014,24,18/05/2014,0
22,135522.96,750,15666.37,3.56,0,3.6,3727.22,5,26433.38,Female,Full-Time,High School,Home,Central,Divorced,2018,36,7/08/2018,0
68,,700,9547.24,13.48,1,5.5,3300.47,6,12100.73,Male,Full-Time,High School,Home,South,Married,2016,36,7/10/2016,0
38,,606,40462.33,22.46,6,8.3,853.92,6,6423.5,Female,Full-Time,,Home,South,Divorced,2013,36,19/01/2013,0
41,72298.73,652,28227.24,22.7,5,,26951.58,8,22031.03,Female,Part-Time,Bachelor,Car,North,Married,2023,36,11/02/2023,1
35,133155.76,591,8631.34,13.43,0,1.2,1673.17,4,30089.94,Male,Full-Time,Master,Car,South,,2020,36,20/10/2020,1
38,46268.98,534,32422.43,31.13,2,3.6,28229.92,1,14925.86,Female,Unemployed,Master,Car,Central,Single,2013,60,17/10/2013,0
71,33590.26,656,32305.62,7.06,6,8.1,26721.99,8,7715.13,Female,Self-Employed,Master,Car,South,Married,2022,84,1/12/2022,0
27,54628.4,511,12147.13,39.06,1,8.5,14632.9,6,9513.62,Female,Full-Time,Master,Home,North,Divorced,2021,36,6/09/2021,1
41,65271.6,576,10769.75,36.24,3,6.7,7318.15,1,14521.69,Male,Full-Time,Bachelor,Personal,Central,Single,2018,12,28/05/2018,0
57,277751.54,624,16487.37,1.27,6,9.4,2364.36,4,63027.61,Male,Unemployed,Master,Home,South,Widowed,2013,48,7/07/2013,0
38,39951.48,670,6123.69,31.43,6,9.9,,0,7275.02,Female,Full-Time,Bachelor,Medical,North,Married,2014,84,2/05/2014,0
42,24509.82,584,66396.88,30.19,5,11.6,,9,,Male,Full-Time,Master,Car,South,Single,2024,36,24/12/2024,1
69,40963.59,586,6212.93,4.18,5,4.5,44830.77,3,12334.61,Female,Unemployed,Bachelor,Education,East,Single,2017,24,10/04/2017,0
39,41700.17,805,18316.41,23.31,1,9.4,6457.08,1,8755.64,Female,Self-Employed,Master,Home,South,Married,2018,36,11/04/2018,0
21,26587.91,538,21142.23,19.01,1,8.7,1499.14,4,7905.65,Female,Retired,,Home,West,Single,2014,36,21/06/2014,1
51,25985.79,659,5640.15,18.01,3,2.7,1758.58,2,6035.75,Male,Full-Time,,Business,West,Married,2012,60,5/03/2012,0
73,38048.49,621,14124.17,25.73,5,7.3,1140.07,7,7639.79,Male,Part-Time,High School,Education,West,Divorced,2021,36,4/05/2021,0
45,54559.06,622,4883.9,25.83,5,1.8,3134.96,9,18090.24,Male,Unemployed,Master,Home,West,,2019,48,1/06/2019,0
48,,489,4778.32,34.59,4,0.3,37195.29,0,13341.65,Male,Unemployed,High School,Home,South,Single,2020,60,27/04/2020,1
56,62224.78,648,28718.76,80.08,0,1.9,5178.44,1,,Female,Part-Time,High School,Car,South,Single,2018,24,9/07/2018,1
59,39670.77,638,25919.61,26,5,4.2,6721.34,5,6666.57,Male,Part-Time,PhD,Education,East,,2012,48,20/10/2012,1
23,29627.52,670,3962.79,19.74,6,3.5,5165.37,8,7773.98,Male,Full-Time,High School,Home,North,Widowed,2021,60,20/02/2021,1
33,28750.14,774,10659.31,33.37,6,2.3,383.06,3,6376.36,Male,Full-Time,High School,Car,South,Single,2014,12,26/11/2014,0
19,104655.31,667,27551.54,11.85,1,3.4,4768.55,4,28512.77,Female,Self-Employed,Master,Home,Central,Widowed,2022,12,2/12/2022,0
34,37944.72,575,38773.07,35.8,1,0.9,7030.92,5,7104.18,Male,Full-Time,High School,Car,East,Married,2015,60,11/05/2015,1
62,54189.05,671,7548.15,7.18,4,10.8,19054.5,8,17531.85,Female,Full-Time,Bachelor,Education,Central,Married,2018,48,5/04/2018,1
18,74490.91,635,20854.87,15.79,1,,1969.34,6,13563.47,Male,Full-Time,Bachelor,Car,North,Married,2011,36,22/04/2011,0
23,34387.01,576,6583.29,24.96,5,4,3075.68,6,12072.33,Female,Self-Employed,,Car,North,Divorced,2014,36,15/05/2014,0
22,45527.88,688,40970.39,19.45,0,15.5,13011.85,8,11409.15,Female,Full-Time,Bachelor,Home,South,Married,2019,36,9/12/2019,0
74,27727.83,659,10768.09,45.87,2,0.8,3285.44,5,,Male,Part-Time,Master,Car,South,,2017,60,8/02/2017,1
62,29043.79,691,2201.81,13.95,2,6,,2,6710,Male,Unemployed,Bachelor,Car,Central,Married,2019,60,22/09/2019,0
46,49875.69,759,16251.94,23.95,4,0.9,,7,9111.98,Female,Full-Time,Master,Education,Central,Married,2019,36,13/12/2019,0
29,96992.6,735,4256.16,6.65,4,11.8,3553.39,0,18749.11,Female,Retired,,Personal,South,Married,2017,36,16/10/2017,0
56,37896.98,677,26886.79,20.74,2,0.1,2163.34,6,9041.34,Female,Self-Employed,High School,Business,North,Married,2024,36,27/02/2024,0
20,,688,49808.47,10.21,3,4.3,11533.26,1,5269.94,Male,Full-Time,High School,Car,West,Divorced,2021,48,5/02/2021,1
65,38161.52,616,32673.57,21.3,4,1.2,25038.69,9,,Female,Full-Time,Master,Car,West,,2012,60,22/08/2012,1
18,31757.87,634,20899.74,27.1,3,0.5,6324.8,2,,Female,Self-Employed,,Home,East,Single,2018,36,25/06/2018,0
44,30471.8,531,18524.6,37.05,3,,228.34,5,7711.93,Female,Unemployed,High School,Business,West,Married,2020,36,22/11/2020,1
65,142603.02,705,12187.38,12.06,5,3,6971.01,4,35320.45,Male,Full-Time,Master,Business,Central,Married,2019,84,22/04/2019,0
41,22873.73,573,1841.17,5.99,6,0.1,71936.59,5,6057.44,Female,Full-Time,Bachelor,Home,North,Divorced,2019,60,20/08/2019,1
36,,513,10694.03,22.32,3,12,1762.62,5,2572.45,Male,Full-Time,High School,Personal,North,Married,2014,84,15/04/2014,1
25,35810.86,699,38675.32,47.26,4,0.6,14726.22,6,10875.14,Male,Full-Time,PhD,Personal,East,Single,2020,60,10/07/2020,1
61,81444.76,715,60484.31,34.3,1,4.8,2160.08,3,15143.65,Female,Unemployed,Bachelor,Education,South,Married,2019,24,2/03/2019,0
64,36272.66,676,8781.34,25.75,4,2.5,15806.29,4,6142.38,Female,Retired,Master,Education,East,Single,2020,48,6/04/2020,0
